uniqueID,clinicalResourceName,serviceType,serviceTypeOtherInfo,address,city,state,zipCode,googleMapsLink,siteOnBusRoute,busRoute,phoneNum1,phoneNumInfo,phoneNum1Verified,phoneNum2,phoneNum2Info,phoneNum2Verified,website,email,otherContactInfo,monday,mondayOpenTime,mondayCloseTime,tuesday,tuesdayOpenTime,tuesdayCloseTime,wednesday,wednesdayOpenTime,wednesdayCloseTime,thursday,thursdayOpenTime,thursdayCloseTime,friday,fridayOpenTime,fridayCloseTime,saturday,saturdayOpenTime,saturdayCloseTime,sunday,sundayOpenTime,sundayCloseTime,otherHoursInfo,servicesProvided,eligibilityCriteriaAll,eligibilityCriteriaUninsured,eligibilityCriteriaIncomeDocumentation,eligibilityCriteriaTennCare,eligibilityCriteriaPrivateInsurance,otherEligibilityCriteriaInfo,feesSlidingScale,feesMinimumPayment,feesOtherInfo,languageEnglish,languageSpanish,languageOther,languageOtherInfo,otherTags,otherNotes,imgURL
271Meharry12SouthCommunityClinic,Meharry 12 South Community Clinic,Medical Care Clinic,,1501 12th Avenue South,Nashville,TN,37203,"https://www.google.com/maps/place/1501+12th+Ave+S,+Nashville,+TN+37203/@36.136652,-86.788911,15z/data=!4m2!3m1!1s0x88646683afa708e9:0xce18320a32f43c19",Yes,17,(615) 378-7585,Google voice number for the clinic.,Yes,,,,http://www.mmc.edu/about/community1/studentclinic.html,,,,,,,,,,,,Open,18:00,21:00,,,,,,,,,,Thursdays 6-9pm,"Primary care, general care",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Eligibility: Private insurance, TennCare. For uninsured, income proof required",Unchecked,Unchecked,Fees: Can be waived,Checked,Unchecked,Unchecked,"Languages: English, others unverified",Student-run clinic,Other Meharry Medical College clinics can be found at: http://www.mmc.edu/patientcare/school-of-medicine/locations/,
17_MatthewWalkerComprehensiveHealthCenter,"Matthew Walker Comprehensive Health Center, Inc ",Medical Care Clinic,"Dental Service, Mental Health, Insurance Enrollment Assistance",1035 14th Avenue North,Nashville,TN,37208,"https://www.google.com/maps/place/matthew+walker+clinic+nashville+tn/@36.170304,-86.801304,15z/data=!4m2!3m1!1s0x0:0x1122825751ae576e?sa=X&ei=ibgxVPqDA-rlsATX2YGwDA&ved=0CDkQrwswBw",Yes,,(615) 327-9400,"Make Appointments, Contact Providers",Yes,(615) 340-1292,Administration,Yes,http://www.mwchc.org/,admin@mwchc.org,,Open,8:00,19:00,Open,8:00,19:00,Open,8:00,17:00,Open,8:00,19:00,Open,8:00,17:00,Open,9:00,13:00,Closed,,,,"Services: Comprehensive family healthcare: pediatrics, adult,  Ob/Gyn, nutrition, dental care, mental health, sickle cell, social services, affordable health care enrollment assistance",Checked,Checked,Checked,Checked,Checked,Photo identification,Checked,Unchecked,,Checked,Checked,Checked,"Languages: English, Spanish, Vietnamese",healthcare; dental services; pediatrics; mental health; affordable health care enrollment assistance;  ,"Additional locations:   Matthew Walker - Smyrna   739 President Place  Smyrna, TN 37167  (615) 984-4290    Matthew Walker - Clarksville   230 Dover Road  Clarksville, TN  37042  (931) 920-5000  ",
48_DowntownHomelessClinicUNHS,Neighborhood Health: Downtown,Medical Care Clinic,"We provide integrated health services at our clinics, including dental, behavioral health and other services. We also recently changed our name per the name used above.",526 8th Avenue South,Nashville,TN,37203,"https://www.google.com/maps/place/Downtown+Clinic/@36.1523037,-86.7791584,17z/data=!3m1!4b1!4m2!3m1!1s0x88646660ff1ddc43:0x7e05945e57ebff76",Yes,"8th Avenue, South/Franklin Road",(615) 256-0197,Direct line to clinic,Yes,(615) 620-8647,Number for the agency's contact center and central scheduling department.,Yes,http://www.neighborhoodhealthtn.org,bfriskics-warren@unitedneighborhood.org,,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Closed,,,Closed,,,"Nashville Rescue Mission location:  639 Lafayette Street  Nashville, TN 37203  615-620-7759  Hours: Mon-Fri 8 am - 4:30 pm","Medical Services: We provide a comprehensive medical services including laboratory testing and pharmacy assistance.    Counseling: Counselors and case managers are available to assist individuals to plan for the future.    Psychiatric Care: Psychiatric nurse practitioners are available for mental health assessment and to prescribe and manage medications.    Alcohol and Drug Program: A 12-week program is available to assist individuals in confronting their addiction as well as their behavioral health needs.    Mobile Clinic: The mobile clinic is able to provide comprehensive medical care to those who are unable to come to a regular clinic location. With two exam rooms, the mobile clinic regularly visits lunch programs and area programs.    Dental Care: UNHS provides transportation to be sure that those served in the Homeless Program receive dental care at UNHS dental clinics.",Checked,Unchecked,Unchecked,Unchecked,Unchecked,Our two downtown clinics are funded to serve people experiencing homelessness.,Checked,Unchecked,,Checked,Unchecked,Unchecked,,homeless,,
107_SalvationArmyCenterOfHope, Salvation Army Center Of Hope             ,Family Services,"Disaster relief, transitional housing, social services",631 Dickerson Road,Nashville,TN,37207,"https://www.google.com/maps/place/The+Salvation+Army/@36.182504,-86.77345,17z/data=!3m1!4b1!4m2!3m1!1s0x886467ae6554e1e7:0xdb25649772d430f0",Yes,,(615) 242-0411,,Yes,,,,http://www.paradisedivision.org/nashville/facilities/center-of-hope/,,,,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,,Unchecked,Unchecked,Unchecked,,,"Need to verify: Hours, Languages, Fees",http://www.paradisedivision.org/nashville/files/2014/02/AreaCommand0613-001-e1393363168368.png    
24_PlannedParenthood,Planned Parenthood,Medical Care Clinic,,412 Dr. D.B. Todd Jr. Blvd.,Nashville,TN,37203,"https://www.google.com/maps/place/412+Dr+D.B.+Todd+Jr+Blvd,+Nashville,+TN+37203/@36.1587055,-86.8006199,15z/data=!4m2!3m1!1s0x886466ea5d405cff:0xefc16ecb6d400e83",Yes,25,(615) 321-7216,,Yes,,,,http://www.plannedparenthood.org/health-center/tennessee/nashville/37203/nashville-health-center-2716-91560,,(615) 321-7216,Open,9:15,18:30,Open,8:15,15:30,Open,8:15,15:30,Open,8:15,15:30,Open,8:15,15:30,Open,8:15,15:30,Closed,,,Hours: Mon 9:15-6:30; Tue-Sat 8:15-3:30 (only every other saturday),"Services: Birth control, emergency contraception, abortion services, general healthcare, STD testing and treatment, patient education, LGBT services, HPV and hepatitis vaccines, pregnancy testing, options, and women's health care services",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Eligibility: All, including uninsured, documentation of income required",Unchecked,Unchecked,"Fees: Based on income, proof of income required",Checked,Checked,Checked,"Languages: English, Spanish, Bosnian (by phone interpreter)",,,
141_RenewalHousefemales,Renewal House (females)           ,"Counseling, Behavior, Drug & Alcohol Recovery","In community with addicted women and their children, Renewal House fosters healing, resiliency and continuing recovery to enhance family health.",3410 Clarksville Pike      ,Nashville,TN,37218,"https://www.google.com/maps/place/Renewal+House/@36.196906,-86.834386,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xe907f0618cf3071b",Yes,,(615) 255-5222,,Yes,,,,http://www.renewalhouse.org/,info@renewalhouse.org,,Open,0:01,23:59,Open,0:01,23:59,Open,0:01,23:59,Open,0:01,23:59,Open,0:01,23:59,Open,0:01,23:59,Open,0:01,23:59,The Renewal House Family Residential Program is staffed 24/7.,"Family Residential Program for women who are drug addicts and their children; licensed Intensive Outpatient Program; Outpatient Programs for prevention, parenting & relapse prevention; rental apartments for women in recovery and their children. ",Checked,Checked,Unchecked,Checked,Unchecked,,Unchecked,Unchecked,,Checked,Checked,Checked,Renewal House can serve clients from any language background through the use of a translator service. ,,,
20_MeharryOutpatientClinic,Meharry Outpatient Clinic,Medical Care Clinic,,1818 Albion St,Nashville,TN,37208,"https://www.google.com/maps/place/1818+Albion+St,+Nashville,+TN+37208/@36.16683,-86.807109,15z/data=!4m2!3m1!1s0x886466db5660d72b:0xcf47c5a483b2e866?sa=X&ei=e9YxVIDSOfiMsQTU2YJI&ved=0CB8Q8gEwAA",Yes,"19, 21, 25",(615) 873-6700,General VA med center number.,Yes,,,,http://www.tennesseevalley.va.gov/locations/Meharry.asp,,(615) 341-4393,Open,8:00,16:30,Open,8:00,16:30,Open,8:00,16:30,Open,8:00,16:30,Open,8:00,16:30,,,,,,,"Hours: Primary care - Mon-Fri 8:30-4:00, Podiatry - Friday 1:00-4:00, by appointment","The clinic provides full-service primary care, including lab tests and basic x-rays.",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Eligibility: Davidson county residents,Unchecked,Unchecked,"Fees: $60, may be reduced or waived based on income",Checked,Unchecked,Unchecked,"Languages: English, others non-verified","VA, veterans",,
35_WestEndWomensHealthCenter,West End Women's Health Center ,Medical Care Clinic,,"2611 West End Ave, Suite 380",Nashville,TN,37203,"https://www.google.com/maps/place/2611+West+End+Ave,+Nashville,+TN+37203/@36.1453504,-86.8108277,15z/data=!4m2!3m1!1s0x886466bacb3eb20d:0x59a6c4ced6ba2ba3?sa=X&ei=pdsxVMneEfHjsATG1YL4Ag&ved=0CB8Q8gEwAA",Yes,"3, 5",(615) 936-5858,,Yes,,,,http://www.westendmidwives.com/,westendwomenshealth@vanderbilt.edu,(615) 936-5858 http://www.vanderbiltnursemidwives.org/,Open,8:00,16:30,Open,8:00,16:30,Open,8:00,16:30,Open,8:00,16:30,Open,8:00,16:30,Closed,,,Closed,,,Hours: Mon-Fri 8:30-4:30,Services: full scope obstetrical care by certified nurse midwives; well-woman gynecological care,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Eligibility: Commercial or BlueCross insurance and Medicare; does NOT accept TennCare. TennCare and self-pay patients are referred to Franklin Road Women's Health Center where sliding fee schedules are available based on income,Unchecked,Unchecked,Fees: based on insurance plan fee schedules,Unchecked,Unchecked,Unchecked,Languages: English and Spanish,,,
86_YouHavethePower, You Have the Power               ,Child/Domestic Violence,,2814 12th Avenue South #211,Nashville,TN,37204,"https://www.google.com/maps/place/You+Have+the+Power/@36.121866,-86.790193,15z/data=!4m2!3m1!1s0x0:0x2035be6c84db4710?sa=X&ei=4y2wVK61CO_isASrw4LwCg&ved=0CG0Q_BIwDQ",Yes,12th South (Route 17),(615) 292-7027,,Yes,,,,http://www.yhtp.org/,info@yhtp.org,,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Open,8:00,17:00,Closed,,,Closed,,,,"Information/education materials, presentations, and meetings on abuse, domestic violence, and violent crime",Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,Free,Checked,Checked,Unchecked,,education; empowerment; abuse; domestic violence; violence; teaching; meetings; discussion;methamphetamine;acquaintance rape; elder abuse;child abuse;victim advocacy,,
70_ParkCenteradults, Park Center (Emerging Adult Program)            ,"Counseling, Behavior, Drug & Alcohol Recovery",Supported and Independent Housing,"	4501 Gallatin Road  ",Nashville,TN,37207,,Yes,Gallatin Rd.,(615) 242-3576,,Yes,,,,parkcenternashville.org,julia.barlar@parkcenternashville.org,,Open,9:00,15:00,Open,9:00,15:00,Open,9:00,15:00,Open,9:00,15:00,Open,9:00,15:00,Closed,,,Closed,,,,"Psychosocial Rehabilitation, employment services, supported education, supported housing, independent housing to 18-24 year old individuals who experience symptoms of severe and persistent mental illness.",Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Checked,Unchecked,Housing is free if eligibility criteria is met.,Checked,Unchecked,Unchecked,,,,
68_NextDoorfemales, The Next Door (females)            ,"Counseling, Behavior, Drug & Alcohol Recovery",,402 22nd Ave N  ,Nashville,TN,37203,,Yes,Bus #10,(615) 251-8805,Front desk,,(855) 863-4673,Hope line,,thenextdoor.org,info@thenextdoor.org,,Open,8:00,17:30,Open,8:00,17:30,Open,8:00,17:30,Open,8:00,17:30,Open,8:00,17:30,Closed,,,Closed,,,Will accept direct transfer after hours Detox admissions   Detox phone number 615-251-8805 ext.638,Medically monitored Detox  Residential treatment  Partial Hospitalization  Intensive Outpatient  Outpatient,Unchecked,Checked,Unchecked,Checked,Checked,,Unchecked,Unchecked,,Checked,Unchecked,Unchecked,,,,
147_ConexionAmericas, Conexion Americas                ,Immigrant Resources,Family Services,2195 Nolensville Pike,Nashville,TN,37204,,Yes,,(615) 320-5152,,Yes,(615) 269-6900,,Yes,Www.conexionamericas.org,info@conamericas.com,,Open,9:00,7:00,Open,9:00,5:30,Open,9:00,7:00,Open,9:00,5:30,Open,9:00,2:00,Closed,,,Closed,,,,ESL classes  Parent involvement workshops   Tax preparation  Small business workshops  Homeownership  Computer classes  Immigration ,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,,Checked,Checked,Unchecked,,Latino; Hispanic,,
208_TNDisabilityPathfinderHotline,Tennessee Disability Pathfinder,Disability Services,Disability Services,"1211 21st Avenue South, Suite 539",Nashville,TN,37212,,Yes,,(800) 640-4636,For all English speaking callers,Yes,(615) 875-5083,For all non-English speaking callers,Yes,www.familypathfinder.org,tnpathfinder@vanderbilt.edu,,Open,8:00,16:00,Open,8:00,16:00,Open,8:00,16:00,Open,8:00,16:00,Open,8:00,16:00,Closed,,,Closed,,,,"Information and referral services for individuals of all ages, all types of disabilities, and all nationalities.",Checked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,Free,Checked,Checked,Checked,Staff speak English and Spanish  Interpreter Services available to serve all other languages,,,
